company_name,domain,year,program,location,industries,description,image_url,linkedin_url,twitter_url,crunchbase_url
SnapEngage,https://snapengage.com/,2009,Techstars Boulder Accelerator,"Boulder, Colorado, United States",Infrastructure,SnapEngage Live Chat,https://apimg.techstars.com/connect/images/image_files/535e/c440/38a8/9535/6700/0004/original/snap_icon_facebook.jpg,https://linkedin.com/company/snapengage,https://twitter.com/snapengage,https://crunchbase.com/organization/snap-engage
Oneforty,https://oneforty.com/,2009,Techstars Boston Accelerator,"Cambridge, Massachusetts, United States","Fintech,Mobile",Social business hub,https://apimg.techstars.com/connect/images/image_files/5361/3f90/b776/101b/2a00/000d/original/oneforty.jpg,https://linkedin.com/company/oneforty,https://twitter.com/oneforty,https://crunchbase.com/organization/oneforty
AccelGolf,https://accel-golf.com/,2009,Techstars Boston Accelerator,"Cambridge, Massachusetts, United States",Mobile,Golf improvement analytics,https://apimg.techstars.com/connect/images/image_files/5306/7ca3/8f5a/a669/c500/000b/original/iPhone2_bigger.jpg,https://linkedin.com/company/1749212,https://twitter.com/accelgolf,https://crunchbase.com/organization/accelgolf
TempMine,,2009,Techstars Boston Accelerator,"Boston, Massachusetts, United States",HRtech,Software for temporary staffing,https://apimg.techstars.com/connect/images/image_files/5361/3fc1/a6e7/4b70/e600/000d/original/Tempmine.jpg,,https://twitter.com/tempmine,https://crunchbase.com/organization/tempmine
Spry,,2009,Techstars Boulder Accelerator,"Lynbrook, New York, United States",Fintech,Software developer team monitoring,https://apimg.techstars.com/connect/images/image_files/53d6c2c7af05d79bc9000005/original/spry.png,https://linkedin.com/company/spry,https://twitter.com/spry_inc,https://crunchbase.com/organization/spry
Mailana,,2009,Techstars Boulder Accelerator,"Boulder, Colorado, United States",Fintech,Inner circle social messaging,https://apimg.techstars.com/connect/images/image_files/53d6c25fb5e11e63ac000006/original/mailana.png,,,https://crunchbase.com/organization/mailana
LangoLab,,2009,Techstars Boston Accelerator,"Cambridge, Massachusetts, United States",Technology media and telecommunications,Foreign language education,https://apimg.techstars.com/connect/images/image_files/5361/3f60/b776/1035/b600/000e/original/LangoLab.jpg,,https://twitter.com/langolab,https://crunchbase.com/organization/langolab
HaveMyShift,,2009,Techstars Boston Accelerator,"Chicago, Illinois, United States","Fintech,Mobile",Shift worker trading,https://apimg.techstars.com/connect/images/image_files/5361/3f4d/a6e7/4b70/e600/000c/original/havemyshift.jpg,https://linkedin.com/company/havemyshift,https://twitter.com/havemyshift,https://crunchbase.com/organization/havemyshift
AmpIdea,,2009,Techstars Boston Accelerator,"Boston, Massachusetts, United States",Healthtech,Web-enabled baby monitors,https://apimg.techstars.com/connect/images/image_files/5361/3edb/b776/10db/7000/0012/original/ampidea.jpg,,https://twitter.com/ampidea,https://crunchbase.com/organization/ampidea
Sphero,https://sphero.com/,2010,Techstars Boulder Accelerator,"Boulder, Colorado, United States","Edtech,Mobile,Robotics and Drones,Virtual reality",We create amazing connected toys,https://apimg.techstars.com/connect/perks/image_files/535ebff6766fc3d1a0000002/original/W2-W6saw_400x400.jpg,https://linkedin.com/company/1199924,https://twitter.com/littleBits,https://crunchbase.com/organization/orbotix
Kapost,https://kapost.com/,2010,Techstars Boulder Accelerator,"Boulder, Colorado, United States","Marketing tech,Technology media and telecommunications",Content marketing software,https://apimg.techstars.com/connect/images/image_files/5331/ddc2/5ec8/b073/8900/0003/original/images.jpg,https://linkedin.com/company/kapost,https://twitter.com/kapost,https://crunchbase.com/organization/kapost
StarStreet,https://starstreet.com/,2010,Techstars Boston Accelerator,"Cambridge, Massachusetts, United States","Fintech,Gaming,Mobile",Head to head real money fantasy drafts,https://pbs.twimg.com/profile_images/3604832642/5adf5ca474a14d6ed08d8522cc0d8a57_bigger.png,https://linkedin.com/company/1746447,https://twitter.com/StarStreet,https://crunchbase.com/organization/starstreet
ADstruc,https://adstruc.com/,2010,Techstars Boulder Accelerator,"New York City, New York, United States",Adtech,Tech platform for outdoor advertising,https://apimg.techstars.com/connect/images/image_files/54c6c956740ea72818000004/original/adstruc_th-400x400.jpg,https://linkedin.com/company/adstruc,https://twitter.com/ADstruc,https://crunchbase.com/organization/adstruc
Haiku Deck,https://haikudeck.com/,2010,Techstars Seattle Accelerator,"Seattle, Washington, United States",Mobile,Presentation software that doesnt suck,https://apimg.techstars.com/connect/images/image_files/5317/bbdd/056b/33e1/1200/0005/original/haiku_crane_logo.jpg,https://linkedin.com/company/haiku-deck,https://twitter.com/haikudeck,https://crunchbase.com/organization/haiku-deck
Crowdly,https://crowdly.com/,2010,Techstars Boston Accelerator,"Boston, Massachusetts, United States","Fintech,Mobile,SaaS",Authentic Customer Advocacy at Scale,https://s3.amazonaws.com/photos.angel.co/startups/i/159541-42be7864bae989bd675067132e41c9fb-medium_jpg.jpg,https://linkedin.com/company/crowdly,https://twitter.com/crowdly,https://crunchbase.com/organization/crowdly
SpotRight,https://spotright.com/,2010,Techstars Boulder Accelerator,"Boulder, Colorado, United States",Fintech,Topical social influence API,https://apimg.techstars.com/connect/images/image_files/539b/3206/9baa/349a/0000/0002/original/SpotRight_Logo_Bug.jpg,https://linkedin.com/company/spotright-inc-,https://twitter.com/SpotRight,https://crunchbase.com/organization/spot-influence
Highlighter,https://highlighter.com/,2010,Techstars Seattle Accelerator,"Seattle, Washington, United States",Fintech,Highlight Comment Share,https://apimg.techstars.com/connect/images/image_files/5361/3aaa/a6e7/4b70/e600/0007/original/Highlighter.jpg,https://linkedin.com/company/highlighter,https://twitter.com/highlightercom,https://crunchbase.com/organization/highlighter
Captimo,https://captimo.com/,2010,Techstars Boulder Accelerator,"Boulder, Colorado, United States","Fintech,Mobile",Bringing brands and fans closer,https://pbs.twimg.com/profile_images/2261174648/app_captimo_bigger.gif,https://linkedin.com/company/1249490,https://twitter.com/gocaptimo,https://crunchbase.com/organization/captimo
